Thu Feb  4 00:20:53 2016 Program started.
Thu Feb  4 01:19:13 2016 Found moon @ x: 967  y: 374
Thu Feb  4 01:19:20 2016 make pot @ x: 509  y: 309
Thu Feb  4 01:19:37 2016 Found coin @ x: 405  y: 173
Thu Feb  4 01:19:39 2016 Found coin @ x: 405  y: 173
Thu Feb  4 01:19:45 2016 Found moon @ x: 729  y: 268
Thu Feb  4 01:19:48 2016 make horn @ x: 512  y: 310
Thu Feb  4 01:19:54 2016 Found coin @ x: 717  y: 173
Thu Feb  4 01:19:57 2016 Found hammer @ x: 1008  y: 565
Thu Feb  4 01:20:03 2016 Found coin @ x: 613  y: 69
Thu Feb  4 01:20:05 2016 Found coin @ x: 613  y: 69
Thu Feb  4 01:20:26 2016 Found moon @ x: 1019  y: 556
Thu Feb  4 01:20:34 2016 make pot @ x: 509  y: 309
Thu Feb  4 01:20:40 2016 Found coin @ x: 613  y: 225
Thu Feb  4 01:20:49 2016 Found coin @ x: 301  y: 225
Thu Feb  4 01:20:51 2016 Found coin @ x: 197  y: 277
Thu Feb  4 01:20:54 2016 Found hammer @ x: 1184  y: 433
Thu Feb  4 01:21:00 2016 Found coin @ x: 509  y: 121
Thu Feb  4 01:21:01 2016 Found coin @ x: 509  y: 121
Thu Feb  4 01:21:11 2016 Found coin @ x: 509  y: 277
Thu Feb  4 01:21:13 2016 Found coin @ x: 509  y: 277
Thu Feb  4 01:21:20 2016 Found moon @ x: 1195  y: 424
Thu Feb  4 01:21:31 2016 make kohl @ x: 512  y: 306
Thu Feb  4 01:22:03 2016 Found coin @ x: 717  y: 485
Thu Feb  4 01:22:06 2016 Found coin @ x: 93  y: 329
Thu Feb  4 01:22:45 2016 Found coin @ x: 821  y: 537
Thu Feb  4 01:22:59 2016 Found coin @ x: 197  y: 433
Thu Feb  4 01:23:02 2016 Found coin @ x: 197  y: 433
Thu Feb  4 01:23:45 2016 Found coin @ x: 665  y: 615
Thu Feb  4 01:23:58 2016 Found coin @ x: 873  y: 95
Thu Feb  4 01:24:29 2016 Found hammer @ x: 956  y: 383
Thu Feb  4 01:24:50 2016 Found coin @ x: 405  y: 173
Thu Feb  4 01:24:52 2016 Found coin @ x: 405  y: 173
Thu Feb  4 01:24:54 2016 Found hammer @ x: 718  y: 277
Thu Feb  4 01:24:57 2016 Found moon @ x: 967  y: 374
Thu Feb  4 01:25:04 2016 make pot @ x: 509  y: 309
Thu Feb  4 01:25:09 2016 Found coin @ x: 613  y: 69
Thu Feb  4 01:25:19 2016 Found coin @ x: 717  y: 173
Thu Feb  4 01:25:21 2016 Found coin @ x: 717  y: 173
Thu Feb  4 01:25:27 2016 Found moon @ x: 729  y: 268
Thu Feb  4 01:25:31 2016 make horn @ x: 512  y: 310
Thu Feb  4 01:25:41 2016 Found hammer @ x: 1008  y: 555
Thu Feb  4 01:25:47 2016 Found coin @ x: 613  y: 225
Thu Feb  4 01:25:49 2016 Found coin @ x: 613  y: 225
Thu Feb  4 01:25:56 2016 Found moon @ x: 1019  y: 556
Thu Feb  4 01:26:03 2016 make pot @ x: 509  y: 309
Thu Feb  4 01:26:09 2016 Found coin @ x: 301  y: 225
Thu Feb  4 01:26:18 2016 Found coin @ x: 509  y: 121
Thu Feb  4 01:26:20 2016 Found coin @ x: 509  y: 121
Thu Feb  4 01:26:30 2016 Found coin @ x: 197  y: 277
Thu Feb  4 01:26:32 2016 Found coin @ x: 396  y: 319
Thu Feb  4 01:26:42 2016 Found coin @ x: 509  y: 277
Thu Feb  4 01:26:44 2016 Found coin @ x: 292  y: 371
Thu Feb  4 01:26:47 2016 Found hammer @ x: 1184  y: 433
Thu Feb  4 01:27:04 2016 Found moon @ x: 1195  y: 424
Thu Feb  4 01:27:15 2016 make kohl @ x: 512  y: 306
Thu Feb  4 01:27:21 2016 Found coin @ x: 93  y: 329
Thu Feb  4 01:27:32 2016 Found coin @ x: 717  y: 485
Thu Feb  4 01:27:34 2016 Found coin @ x: 717  y: 485
Thu Feb  4 01:27:59 2016 Found coin @ x: 821  y: 537
Thu Feb  4 01:28:02 2016 Found coin @ x: 821  y: 527
Thu Feb  4 01:28:16 2016 Found coin @ x: 197  y: 433
Thu Feb  4 01:28:56 2016 Found coin @ x: 665  y: 615
Thu Feb  4 01:28:59 2016 Found coin @ x: 665  y: 615
Thu Feb  4 01:29:08 2016 Found coin @ x: 873  y: 95
Thu Feb  4 01:29:10 2016 Found coin @ x: 873  y: 95
Thu Feb  4 01:30:03 2016 Found coin @ x: 405  y: 173
Thu Feb  4 01:30:09 2016 Found hammer @ x: 956  y: 383
Thu Feb  4 01:30:15 2016 Found coin @ x: 613  y: 69
Thu Feb  4 01:30:16 2016 Found coin @ x: 613  y: 69
Thu Feb  4 01:30:26 2016 Found coin @ x: 717  y: 173
Thu Feb  4 01:30:35 2016 Found moon @ x: 967  y: 374
Thu Feb  4 01:30:43 2016 make pot @ x: 509  y: 309
